,claim,label,source_label,source,date,claim_source,explanation,fact_check_url
115,"“Governor Andy Beshear has authorized Kentucky teachers to make in-home visits. With parental approval, teachers will inspect the bedroom of each student currently enrolled in K-8.”",false,pants-fire,Politifact,2020-04-29,Viral image,,https://politifact.com/factchecks/2020/may/06/viral-image/no-kentucky-teachers-wont-be-conducting-student-be/
116,Congressional candidate Chris Jacobs “voted against paid leave for COVID-19.”,partly false,mostly-true,Politifact,2020-04-08,"Nate McMurray
 ",,https://politifact.com/factchecks/2020/may/06/nathan-mcmurray/nate-mcmurray-target-tweet-about-chris-jacobs-sick/
117,"“The flu killed 80,000 people in the U.S. last year”",false,barely-true,Politifact,2020-04-18,Facebook posts,,https://politifact.com/factchecks/2020/may/06/facebook-posts/facebook-post-exaggerates-seasonal-flu-deaths-last/
118,“First volunteer in UK coronavirus vaccine trial has died.”,false,false,Politifact,2020-04-25,Bloggers,,https://politifact.com/factchecks/2020/may/05/blog-posting/no-first-volunteer-uk-covid-19-vaccine-trial-hasnt/
119,"“At the end of the year, we put into that federal pot $116 billion more than we take out,” while Kentucky “takes out $148 billion more than they put in.”",not enough evidence,half-true,Politifact,2020-04-23, Andrew Cuomo,,https://politifact.com/factchecks/2020/may/05/andrew-cuomo/cuomos-claim-new-yorks-contributions-federal-treas/
120,“I see no time in the history of this country when perfectly healthy people have been basically confined to their homes or only able to do essential things as in Kansas City or St. Louis.”,false,false,Politifact,2020-03-22,Cindy O’Laughlin,,https://politifact.com/factchecks/2020/may/04/cindy-olaughlin/healthy-people-have-been-confined-covid-19-contrar/
121,“New York Times editor admits Biden sexual assault story was censored at behest of Biden campaign.”,false,barely-true,Politifact,2020-04-14,Facebook posts,,https://politifact.com/factchecks/2020/may/04/facebook-posts/Claim-New-York-Times-censored-Biden-sex-assault/
122,“The (corona)virus just isn’t nearly as deadly as we thought it was.”,false,barely-true,Politifact,2020-04-27,Tucker Carlson,,https://politifact.com/factchecks/2020/may/04/tucker-carlson/tucker-carlson-says-coronavirus-isnt-deadly-we-tho/
123,Says Joe Biden has “written a letter of apology” for calling Trump’s travel restrictions from China “xenophobic.”,false,false,Politifact,2020-05-03,Donald Trump,,https://politifact.com/factchecks/2020/may/04/donald-trump/without-evidence-trump-claims-biden-sent-him-apolo/
124,"""Why did the US (NIH) in 2017 give $3.7m to the Wuhan Lab in China? Such grants were prohibited in 2014. Did Pres. Obama grant an exception?""",false,false,Politifact,2020-04-26,Rudy Giuliani,,https://politifact.com/factchecks/2020/may/01/rudy-giuliani/rudy-giuliani-wrong-about-us-policy-grant-amount-w/
125,Says President Donald Trump is selling coronavirus-themed commemorative coins through the White House Gift Shop.,false,false,Politifact,2020-04-29,Facebook posts,,https://politifact.com/factchecks/2020/may/01/facebook-posts/gift-shop-selling-covid-19-coins-not-white-house/
126,"Walmart, Amazon, Kroger, Target and Costco “have not had any reported (coronavirus) cases in the news.”",false,false,Politifact,2020-04-29,Viral image,,https://politifact.com/factchecks/2020/may/01/viral-image/employees-big-retailers-have-contracted-covid-19-a/
127,"Says Wisconsin measures have ""prevented the death of at least 300 Wisconsinites, and perhaps as many as 1,400 lives.""",partly false,mostly-true,Politifact,2020-04-21,Tony Evers,,https://politifact.com/factchecks/2020/may/01/tony-evers/has-safer-home-wisconsin-saved-300-lives/
128,The existence of a canine coronavirus vaccine casts doubt on statements that there isn’t one for humans.,false,false,Politifact,2020-04-22,Facebook posts,,https://politifact.com/factchecks/2020/may/01/facebook-posts/canine-coronavirus-vaccine-exists-its-dogs-and-has/
129,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",false,pants-fire,Politifact,2020-04-23,Facebook posts,,https://politifact.com/factchecks/2020/may/01/facebook-posts/viral-post-alleging-obama-era-device-tax-caused-cu/
130,The CDC recommends that only people with COVID-19 symptoms should wear masks.,false,false,Politifact,2020-04-27,Facebook posts,,https://politifact.com/factchecks/2020/may/01/facebook-posts/fight-COVID-CDC-now-says-wear-masks-in-public/
131,“Pelosi was in (Wuhan) China 6 days after the impeachment HOAX failed.”,false,pants-fire,Politifact,2020-04-22,Facebook posts,,https://politifact.com/factchecks/2020/apr/30/facebook-posts/ridiculous-claim-pelosi-flew-wuhan-china-after-imp/
132,"“President Trump just announced that the ‘biological’ lab in Wuhan where the COVID-19 virus was created was ‘funded’ by President Barak (sp) Hussein Obama in 2015 to the tune of $3,800,000 American dollars!”",false,false,Politifact,2020-04-22,Bloggers,,https://politifact.com/factchecks/2020/apr/30/blog-posting/obama-administration-did-not-provide-38-million-wu/
133,“We’ve tested more than every country combined.”,false,pants-fire,Politifact,2020-04-27,Donald Trump,,https://politifact.com/factchecks/2020/apr/30/donald-trump/trumps-boasts-testing-spring-cherry-picking-data/
134,“Trump and McConnell are blocking stimulus checks for Americans married to immigrants.”,false,barely-true,Politifact,2020-04-23,Facebook posts,,https://politifact.com/factchecks/2020/apr/29/facebook-posts/claim-about-stimulus-check-eligibility-americans-m/
135,COVID-19 is “here to stay” and “we need to accept that and be prepared to deal with COVID long term.”,partly false,mostly-true,Politifact,2020-04-26,Facebook posts,,https://politifact.com/factchecks/2020/apr/29/facebook-posts/experts-say-covid-19-may-well-be-here-stay-even-af/
136,Michigan Gov. Gretchen Whitmer “has just been stripped of her emergency coronavirus powers by her state legislature.”,false,barely-true,Politifact,2020-04-27,Instagram posts,,https://politifact.com/factchecks/2020/apr/29/instagram-posts/michigan-gov-whitmer-has-not-been-stripped-her-eme/
137,"“Some states, like Montana and Nebraska, are getting more than $300,000 in federal stimulus money per reported COVID-19 case. New York is the hardest-hit state and yet we are getting only about $12,000 per case.”",partly false,mostly-true,Politifact,2020-04-12,Andrew Cuomo,,https://politifact.com/factchecks/2020/apr/29/andrew-cuomo/what-gov-cuomo-got-right-about-disparity-between-s/
138,“We’re also using a sterilization process ― some great equipment that will sterilize masks up to 20 times per mask. So that’s like ordering 20 times more masks.”,not enough evidence,half-true,Politifact,2020-04-23,Donald Trump,,https://politifact.com/factchecks/2020/apr/29/donald-trump/trump-says-n95-masks-can-be-sterilized-reuse-only-/
139,“Small trials” to test convalescent plasma therapy for coronavirus patients “seem to have had some degree of success.”,true,true,Politifact,2020-04-14,Jamie Nadler,,https://politifact.com/factchecks/2020/apr/29/jamie-nadler/convalescent-plasma-therapy-showing-promise-agains/
140,"Dr. Anthony “Fauci told us there’s nothing to worry about. That’s his quote, ‘There’s nothing to worry about.’”",not enough evidence,half-true,Politifact,2020-04-14,Steve Bannon,,https://politifact.com/factchecks/2020/apr/29/steve-bannon/did-fauci-tell-us-not-worry-about-coronavirus/
141,“Ultraviolet Radiation is administered into the body as a disinfectant to kill bacteria and viruses and this has been used for a while now.”,false,false,Politifact,2020-04-24,Facebook posts,,https://politifact.com/factchecks/2020/apr/28/facebook-posts/uv-radiation-not-common-way-kill-viruses-and-bacte/
142,"“Sweden has zero lockdown” and “is in no worse shape than Denmark or Norway,” which are in lockdown.",false,barely-true,Politifact,2020-04-19,Facebook posts,,https://politifact.com/factchecks/2020/apr/28/facebook-posts/sweden-mostly-open-has-higher-covid-19-death-rate-/
143,The government must have planned the coronavirus pandemic because the coronavirus relief bill had been introduced three years earlier.,false,pants-fire,Politifact,2020-04-26,Facebook posts,,https://politifact.com/factchecks/2020/apr/27/facebook-posts/early-date-cares-act-due-legislative-quirk-not-plo/
144,Mosquitoes can transfer COVID-19 “from person to person”,false,false,Politifact,2020-04-22,Facebook posts,,https://politifact.com/factchecks/2020/apr/27/facebook-posts/no-proof-mosquitoes-transfer-covid-19-between-peop/
145,“People defying stay-at-home order fill Arizona beaches.”,false,pants-fire,Politifact,2020-04-22,Bloggers,,https://politifact.com/factchecks/2020/apr/27/blog-posting/crowded-beaches-arizona-coronavirus-spoof-fools-un/
146,Says the April 22 jump in COVID-19 cases was related to the election.,false,false,Politifact,2020-04-23,Chris Larson,,https://politifact.com/factchecks/2020/apr/24/chris-larson/chris-larson-has-no-basis-connect-spike-new-corona/
147,"Even with no shutdown, Sweden has a lower COVID-19 infection rate than UK, Italy and Spain.",not enough evidence,half-true,Politifact,2020-04-17,Franklin Graham,,https://politifact.com/factchecks/2020/apr/24/franklin-graham/fact-checking-swedens-covid-infection-rate-without/
148,"In 1986, the founder of the Times Square Church prophesied that he saw “a plague coming on the world and the bars and church and government will shut down,” with New York City especially hard hit.",false,false,Politifact,2020-04-03,Facebook posts,,https://politifact.com/factchecks/2020/apr/24/facebook-posts/no-pastor-david-wilkerson-did-not-predict-covid-19/
149,“Trump said ‘hundreds’ of governors are calling him…& we only have 50.”,false,false,Politifact,2020-04-21,Facebook posts,,https://politifact.com/factchecks/2020/apr/24/facebook-posts/no-evidence-donald-trump-said-hundreds-governors-c/
150,"During the 1918 flu pandemic, San Francisco residents formed the “Anti-Mask League.” San Francisco “was ultimately one of the cities that suffered the most with a high death rate.”",partly false,mostly-true,Politifact,2020-04-22,Facebook posts,,https://politifact.com/factchecks/2020/apr/24/facebook-posts/yes-san-francisco-residents-formed-anti-mask-leagu/
151,Says Texas “either is near the bottom or at the very bottom when it comes to testing per capita.”,true,true,Politifact,2020-04-22,Veronica Escobar,,https://politifact.com/factchecks/2020/apr/24/veronica-escobar/texas-lags-behind-other-states-coronavirus-testing/
152,“Governor Gretchen Whitmer spent the past weekend at her VACATION COTTAGE at Birch Lake. Violating her own EXECUTIVE ORDER.”,false,false,Politifact,2020-04-13,Facebook posts,,https://politifact.com/factchecks/2020/apr/24/facebook-posts/governors-office-says-gretchen-whitmer-didnt-visit/
153,"A banner with a swastika, “Trump” and “Pence” is from a Michigan coronavirus protest.",false,false,Politifact,2020-04-17,Facebook posts,,https://politifact.com/factchecks/2020/apr/24/facebook-posts/trump-pence-swastika-protest/
154,"North Carolina is ""in the small minority of states that requires an absentee ballot to be signed by two witnesses or a notary public.""",true,true,Politifact,2020-04-10,Jay Chaudhuri,,https://politifact.com/factchecks/2020/apr/23/jay-chaudhuri/nc-absentee-ballots-require-2-witnesses-unique/
155,"“Hundreds and hundreds of labs are ready, willing, and able.”",false,barely-true,Politifact,2020-04-20,Donald Trump,,https://politifact.com/factchecks/2020/apr/23/donald-trump/donald-trump-exaggerates-number-untapped-coronavir/
156,"The Gates Foundation ""tested a polio vax in India between 2000 & 2017 and paralysed 496,000 children.""",false,false,Politifact,2020-04-13,Facebook posts,,https://politifact.com/factchecks/2020/apr/23/facebook-posts/anti-vaxxers-spread-conspiracy-about-bill-gates-an/
157,Says Bill O'Reilly wrote a post claiming that the coronavirus was created as a bioweapon by the Chinese government.,false,pants-fire,Politifact,2020-04-11,Facebook posts,,https://politifact.com/factchecks/2020/apr/23/facebook-posts/no-bill-oreilly-didnt-claim-covid-19-bioweapon-cre/
158,Photo shows packed beach of re-opened Jacksonville Beach on CNN.,false,pants-fire,Politifact,2020-04-19,Viral image,,https://politifact.com/factchecks/2020/apr/23/viral-image/photo-packed-beach-brazil-2013-not-jacksonville-be/
159,"“Face masks being manufactured in China, for example, went to domestic consumption and their own fight against the virus” while the U.S. was “largely unable to import supplies from China.”",false,barely-true,Politifact,2020-04-20,Marco Rubio,,https://politifact.com/factchecks/2020/apr/23/marco-rubio/did-china-halt-exports-face-masks-us/
160,"“The Democrats are pushing for an implanted microchip in humans, and everyone to be vaccinated.”",false,false,Politifact,2020-04-10,Facebook posts,,https://politifact.com/factchecks/2020/apr/23/facebook-posts/no-democrats-arent-pushing-microchips-fight-corona/
161,"“The Trump Administration promised 27 million tests by the end of March. As of now, only 4 million have been completed.”",not enough evidence,half-true,Politifact,2020-04-21,Joe Biden,,https://politifact.com/factchecks/2020/apr/23/joe-biden/biden-conflates-tests-market-americans-tested/
162,"Racial comparisons on coronavirus statistics in Monroe County, N.Y., show that the impact on minorities is “basically on par, a little bit up, from the population numbers,” meaning that “we don’t see that disparity as much here.”",not enough evidence,half-true,Politifact,2020-04-08,Lovely Warren,,https://politifact.com/factchecks/2020/apr/23/lovely-warren/rochester-mayor-lacked-context-coronavirus-racial-/
163,"The Gates Foundation ""has the patent for this coronavirus.""",false,false,Politifact,2020-04-20,Facebook posts,,https://politifact.com/factchecks/2020/apr/23/facebook-posts/gates-foundation-does-not-have-patent-coronavirus/
164,"Trey Gowdy said, “I’m not saying COVID-19 isn’t real…. But pay attention folks, there’s much more going on here than what meets the eye.”",false,false,Politifact,2020-04-22,Facebook posts,,https://politifact.com/factchecks/2020/apr/23/facebook-posts/no-trey-gowdy-didnt-write-viral-facebook-post/
165,Nigerians are “burning Chinese stores.”,false,false,Politifact,2020-04-19,Viral image,,https://politifact.com/factchecks/2020/apr/22/viral-image/video-shows-popular-market-nigeria-caught-fire/
166,Virginia has “lagged behind other states when it comes to (covid-19) testing.”,true,true,Politifact,2020-04-10,Levar Stoney,,https://politifact.com/factchecks/2020/apr/22/levar-stoney/virginia-lags-coronavirus-testing-stoney-says/
167,"“Until this week, they [OSHA] weren’t even enforcing these guidelines [for coronavirus]. Still today, OSHA is not specifying which rules employees must follow or how to keep their workers safe and healthy.”",true,true,Politifact,2020-04-15,Joe Biden,,https://politifact.com/factchecks/2020/apr/22/joe-biden/biden-says-trump-agency-isnt-doing-enough-protect-/
168,"Kennedy Center, PBS donated to Democrats after getting COVID-19 stimulus money.",false,false,Politifact,2020-04-02,Facebook posts,,https://politifact.com/factchecks/2020/apr/22/facebook-posts/no-kennedy-center-and-pbs-didnt-pay-covid-19-kickb/
169,Joe Diffie’s death was labeled “as a COVID-19 death and it wasn’t!”,false,false,Politifact,2020-04-13,Facebook posts,,https://politifact.com/factchecks/2020/apr/22/facebook-posts/joe-diffie-died-covid-19-complications/
170,"""Covid-19 is now the leading cause of death in the United States.""",not enough evidence,half-true,Politifact,2020-04-20,Mandy Cohen,,https://politifact.com/factchecks/2020/apr/22/mandy-cohen/covid-19-americas-leading-cause-death/
171,Wisconsin is “clearly seeing a decline in COVID infections”,false,barely-true,Politifact,2020-04-21,Wisconsin Republican Legislative leaders,,https://politifact.com/factchecks/2020/apr/21/wisconsin-republican-legislative-leaders/no-wisconsin-not-clearly-seeing-decline-covid-case/
172,Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,false,false,Politifact,2020-04-10,Facebook posts,,https://politifact.com/factchecks/2020/apr/21/facebook-posts/herd-immunity-curbed-covid-deaths-no/
173,Says Democrats are on vacation until May 4 and “refuse to come back” to sign a bill to help small businesses.,false,false,Politifact,2020-04-16,Facebook posts,,https://politifact.com/factchecks/2020/apr/21/facebook-posts/democrats-arent-refusing-return-vacation-all-congr/
174,Hospitals get paid more to list patients as COVID-19.,not enough evidence,half-true,Politifact,2020-04-10,Facebook posts,,https://politifact.com/factchecks/2020/apr/21/facebook-posts/Fact-check-Hospitals-COVID-19-payments/
175,"A photo taken by a journalist showing a beach in Jacksonville, Fla., isn't from after the government
reopened the beach as news reports have claimed.",false,false,Politifact,2020-04-19,Viral image,,https://politifact.com/factchecks/2020/apr/21/viral-image/yes-photo-jacksonville-beach-during-pandemic/
176,“My wife is suffering from coronavirus and she is pregnant. The doctor said she won’t survive it.”,false,pants-fire,Politifact,2020-04-19,Viral image,,https://politifact.com/factchecks/2020/apr/21/viral-image/no-isnt-photo-pregnant-woman-covid-19/
177,Stay-at-home orders “actually are the law of these states.”,partly false,mostly-true,Politifact,2020-04-19,Jay Inslee,,https://politifact.com/factchecks/2020/apr/21/jay-inslee/are-stay-home-orders-laws-jay-inslee-said/
178,Says Wisconsin’s in-person election has caused a “surge” in new coronavirus cases,false,false,Politifact,2020-04-17,Facebook posts,,https://politifact.com/factchecks/2020/apr/21/facebook-posts/no-proof-yet-post-election-surge-coronavirus-cases/
179,"“The poor are, ironically, the most likely to be employed in the industries deemed ‘essential’ while their upper-class peers are freed to bunker down for weeks until the first death wave passes.”",true,true,Politifact,2020-03-18,Facebook posts,,https://politifact.com/factchecks/2020/apr/21/facebook-posts/still-going-work-pennsylvania-chances-are-youre-lo/
180,"Says a photo shows the ""SAME EXACT PEOPLE"" at ""two different beaches"" in Los Angeles County and Jacksonville, Fla.",false,false,Politifact,2020-04-19,Facebook posts,,https://politifact.com/factchecks/2020/apr/20/facebook-posts/website-glitch-fueling-conspiracy-theory-about-cor/
181,News photo from stay-at-home protest was doctored to add Confederate flag.,false,pants-fire,Politifact,2020-04-19,Facebook posts,,https://politifact.com/factchecks/2020/apr/20/facebook-posts/news-photo-stay-home-protest-was-not-doctored/
182,"“Go look at other countries that went through exactly this, started to reopen, and then they saw the infection rate go back up again.”",true,true,Politifact,2020-04-14,Andrew Cuomo,,https://politifact.com/factchecks/2020/apr/20/andrew-cuomo/cuomo-accurately-says-other-countries-reopened-saw/
183,"There are “360,000 (deaths) a year from swimming pools. But we don’t shut the country down for that.”",false,false,Politifact,2020-04-16,Phil McGraw,,https://politifact.com/factchecks/2020/apr/17/phil-mcgraw/dr-phils-faulty-point-about-coronavirus-and-swimmi/
184,"“During the flu pandemic of 1918, some cities lifted social distancing measures too fast, too soon, and created a second wave of pandemic.”",partly false,mostly-true,Politifact,2020-04-15,Gretchen Whitmer,,https://politifact.com/factchecks/2020/apr/17/gretchen-whitmer/what-1918-flu-pandemic-shows-us-about-social-dista/
185,"“Per order from @GovWhitmer, people in Michigan are now banned from purchasing a new baby car seat in stores.”",false,false,Politifact,2020-04-10,Tweets,,https://politifact.com/factchecks/2020/apr/17/tweets/michigan-residents-can-still-buy-car-seats/
186,NC liquor stores were deemed essential “because we have a lot of people who are chemically dependent on alcohol and if we suddenly cut off their access they would go into withdrawal and flood the emergency rooms.”,false,barely-true,Politifact,2020-04-06,Jeff Jackson,,https://politifact.com/factchecks/2020/apr/17/jeff-jackson/why-are-nc-liquor-stores-considered-essential/
187,"“Obesity is, like, the No. 1 factor in whether you really get hit hard by COVID-19.”",not enough evidence,half-true,Politifact,2020-04-14,Ron DeSantis,,https://politifact.com/factchecks/2020/apr/17/ron-desantis/obesity-top-risk-factor-covid-19-hospitalizations/
188,Says House Speaker Nancy Pelosi deleted a video of her telling people to go to Chinatown.,false,false,Politifact,2020-04-16,Donald Trump,,https://politifact.com/factchecks/2020/apr/16/donald-trump/donald-trump-falsely-claims-nancy-pelosi-deleted-v/
189,“Africans living in China now being forced to sleep outside in the cold” as “Chinese nationals blame them for the rising number of new coronavirus cases in the country.”,true,true,Politifact,2020-04-16,Facebook posts,,https://politifact.com/factchecks/2020/apr/16/facebook-posts/yes-africans-are-being-evicted-china-amid-fear-sec/
190,"Republicans “have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis.""",true,true,Politifact,2020-04-14,Barack Obama,,https://politifact.com/factchecks/2020/apr/16/barack-obama/obama-gops-stance-preexisting-conditions-base-espe/
191,"If you ask Amazon’s Alexa about the origin of the coronavirus pandemic, it says “the government planned” it.",false,false,Politifact,2020-03-31,Facebook posts,,https://politifact.com/factchecks/2020/apr/16/facebook-posts/no-amazons-alexa-doesnt-say-government-planned-cor/
192,"Says all Vegas hotels but Trump’s have donated food, rooms in COVID response.",false,barely-true,Politifact,2020-04-09,Facebook posts,,https://politifact.com/factchecks/2020/apr/16/facebook-posts/trumps-vegas-hotel-hasnt-made-donations-it-isnt-on/
193,"“In a matter of days, and in some cases the moment may even have passed, that we’ve reached the peak of the rate of infections.”",not enough evidence,half-true,Politifact,2020-04-15,Pat Toomey,,https://politifact.com/factchecks/2020/apr/16/pat-toomey/us-sen-pat-toomey-says-coronavirus-outbreak-has-re/
194,Says Dr. Anthony Fauci “stands to lose 100 million dollars on Bill Gates ‘vaccine’ for the coronavirus. Because he invested in this vaccine.”,false,false,Politifact,2020-04-12,Facebook posts,,https://politifact.com/factchecks/2020/apr/15/facebook-posts/facebook-posts-falsely-claim-dr-fauci-has-millions/
195,"""This is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.""",false,false,Politifact,2020-04-15,Kellyanne Conway,,https://politifact.com/factchecks/2020/apr/15/kellyanne-conway/kellyanne-conway-misleads-name-covid-19-says-its-n/
196,"The $1,200 coronavirus relief checks this year are “just an advance on your next tax return. … Next year, you're automatically going to owe $1,200 come tax season.”",false,false,Politifact,2020-04-12,YouTube videos,,https://politifact.com/factchecks/2020/apr/15/youtube-videos/no-you-dont-have-pay-back-your-stimulus-check/
197,Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,false,false,Politifact,2020-04-12,Facebook posts,,https://politifact.com/factchecks/2020/apr/15/facebook-posts/covid-order-doesnt-ban-gardening-or-sale-seeds-and/
198,Says 44 senators “voted NOT to send stimulus checks.”,false,false,Politifact,2020-04-05,Viral image,,https://politifact.com/factchecks/2020/apr/15/viral-image/senate-voted-unanimously-favor-stimulus-bill/
199,A photo shows two Italian nurses in a hospital a few days before they got COVID-19 and died.,false,false,Politifact,2020-03-26,Viral image,,https://politifact.com/factchecks/2020/apr/15/viral-image/no-isnt-photo-italian-nurses-kissing-hospital/
200,"“Illinois lags way behind all of our neighbors and certainly we’re in the bottom tier of states that are doing testing.""",not enough evidence,half-true,Politifact,2020-04-07,Lori Lightfoot,,https://politifact.com/factchecks/2020/apr/15/lori-lightfoot/has-illinois-fallen-behind-other-states-testing-co/
201,"""The Postal Service is not losing money because of Amazon. It’s losing money because in 2006, the Republican-led Congress passed a law forcing it to prepay its pensions for 75 years, which no other corporation does ... Without this law, the Postal Service would be turning a profit.”",not enough evidence,half-true,Politifact,2020-04-13,AFL-CIO,,https://politifact.com/factchecks/2020/apr/15/afl-cio/widespread-facebook-post-blames-2006-law-us-postal/
202,Images show COVID-19 victims being buried in mass graves in New York City.,partly false,mostly-true,Politifact,2020-04-10,Facebook posts,,https://politifact.com/factchecks/2020/apr/15/facebook-posts/fact-checking-posts-about-mass-graves-nyc/
203,"“Corona is so bad, this guy died twice!”",false,false,Politifact,2020-04-13,Viral image,,https://politifact.com/factchecks/2020/apr/15/viral-image/these-headlines-dont-prove-fake-news-about-covid-1/
204,"”If you line up all the countries that have done (Covid-19) testing on a per-capita basis, we’re at the bottom of the list.”",false,false,Politifact,2020-04-02,Bobby Scott,,https://politifact.com/factchecks/2020/apr/15/bobby-scott/did-us-april-rank-last-capita-covid-19-testing/
205,Says a video shows a “gay party in Italy few weeks before COVID-19.”,false,false,Politifact,2020-04-10,Viral image,,https://politifact.com/factchecks/2020/apr/14/viral-image/isnt-video-gay-party-italy-just-pandemic/
206,"Says the Asian, Hong Kong, swine and bird flus each “killed more people than coronavirus.”",false,false,Politifact,2020-04-06,Facebook posts,,https://politifact.com/factchecks/2020/apr/14/facebook-posts/too-soon-compare-number-covid-deaths-past-outbreak/
207,Says as president he has “total” authority to re-open states amid the COVID-19 pandemic.,false,pants-fire,Politifact,2020-04-13,Donald Trump,,https://politifact.com/factchecks/2020/apr/14/donald-trump/trumps-ridiculous-statement-about-total-authority-/
208,"Says there’s an 800 number you can call to track the status of your stimulus check.
 ",false,pants-fire,Politifact,2020-03-31,Facebook posts,,https://politifact.com/factchecks/2020/apr/14/facebook-posts/no-there-isnt-phone-number-call-track-your-stimulu/
209,“Michigan Governor Gretchen Whitmer bans buying US flags during lockdown.”,false,false,Politifact,2020-04-13,Facebook posts,,https://politifact.com/factchecks/2020/apr/14/facebook-posts/michiganders-arent-banned-buying-american-flags/
210,"Gov. Andrew Cuomo “was simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positive.""",false,pants-fire,Politifact,2020-04-08,Kathy Hochul,,https://politifact.com/factchecks/2020/apr/14/kathy-hochul/hochul-rewrites-history-ventilator-claim/
211,“Everyone is only dying of coronavirus now.”,false,false,Politifact,2020-04-06,Candace Owens,,https://politifact.com/factchecks/2020/apr/14/candace-owens/covid-19-skeptics-say-theres-overcount-doctors-fie/
212,"""The president looks like he was ahead of the curve – as you know, he talks about this all the time – on shutting down travel from China.""",false,barely-true,Politifact,2020-04-13,Rick Santorum,,https://politifact.com/factchecks/2020/apr/14/rick-santorum/rick-santorum-said-trump-was-ahead-curve-china-tra/
213,"“Church services can’t resume until we’re all vaccinated, says Bill Gates.”",false,false,Politifact,2020-04-09,Bloggers,,https://politifact.com/factchecks/2020/apr/13/blog-posting/no-bill-gates-didnt-say-no-church-services-until-e/
214,"Say televangelist Pat Robertson said some young people “are doing all kinds of unnatural things with their sex organs. When people do that, they transfer all kinds of chemicals from ladies’ private parts and that’s where I think the (corona)virus came from.”",false,pants-fire,Politifact,2020-04-05,Tweets,,https://politifact.com/factchecks/2020/apr/13/tweets/no-pat-robertson-didnt-say-covid-19-caused-oral-se/
215,"""It is the decision of the President,"" not governors, to ""open up the states.""",false,false,Politifact,2020-04-13,Donald Trump,,https://politifact.com/factchecks/2020/apr/13/donald-trump/trumps-false-claim-its-him-not-governors-open-stat/
216,"Says CEOs got advance notice of COVID, then resigned to dump stock.",false,false,Politifact,2020-03-29,Facebook posts,,https://politifact.com/factchecks/2020/apr/13/facebook-posts/ceos-didnt-resign-trade-stock-covid-tip/
217,Says video of body bags being dumped in a ditch shows the “situation in Italy” due to the coronavirus.,false,false,Politifact,2020-03-27,Facebook posts,,https://politifact.com/factchecks/2020/apr/13/facebook-posts/no-video-doesnt-show-italys-covid-19-victims-body-/
218,“Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.”,false,false,Politifact,2020-04-10,Facebook posts,,https://politifact.com/factchecks/2020/apr/13/facebook-posts/no-seven-children-senegal-didnt-die-after-covid-19/
219,"""45 nations had already moved” to enforce travel restrictions with China “before the president moved.”",not enough evidence,half-true,Politifact,2020-04-05,Joe Biden,,https://politifact.com/factchecks/2020/apr/13/joe-biden/joe-bidens-claim-about-donald-trumps-slow-travel-r/
220,"Says of COVID-19 that Dr. Anthony Fauci ""was telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large.""",false,barely-true,Politifact,2020-04-12,DeAnna Lorraine,,https://politifact.com/factchecks/2020/apr/13/deanna-lorraine/tweet-amplified-trump-misleads-faucis-late-februar/
221,Suggests Trump urged sick people to get out and vote during COVID-19 pandemic,false,false,Politifact,2020-04-04,Tweets,,https://politifact.com/factchecks/2020/apr/13/tweets/2016-video-trump-urging-sick-people-vote-resurface/
222,"“It has been estimated that only 12% of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package.""",partly false,mostly-true,Politifact,2020-04-08,Bernie Sanders,,https://politifact.com/factchecks/2020/apr/13/bernie-sanders/sanders-coronavirus-relief-effort-congress-fell-sh/
223,“Same little boy died of COVID-19 in three different countries. Still don’t believe the media is #fakenews?”,false,pants-fire,Politifact,2020-04-06,Facebook posts,,https://politifact.com/factchecks/2020/apr/13/facebook-posts/doctored-images-coronavirus-post-exploit-boys-suic/
224,“‘Private’ messages sent to individual people during a Zoom meeting show up in the end-of-meeting transcript along with all other public messages.”,not enough evidence,half-true,Politifact,2020-04-04,Viral image,,https://politifact.com/factchecks/2020/apr/13/viral-image/private-messages-sent-zoom-meeting-hosts-could-app/
225,Says a photo shows South Carolina after stay-at-home orders were announced.,false,false,Politifact,2020-04-06,Facebook posts,,https://politifact.com/factchecks/2020/apr/13/facebook-posts/old-photo-houston-not-south-carolina-during-pandem/
226,Says Robin Vos wore protective gear that “election workers he forced to work … do not have.”,false,barely-true,Politifact,2020-04-07,Facebook posts,,https://politifact.com/factchecks/2020/apr/10/facebook-posts/robin-vos-election-protective-gear-was-available-p/
227,"""This particular pandemic is one where I don’t think nationwide, there’s been a single fatality under 25.""",false,pants-fire,Politifact,2020-04-09,Ron DeSantis,,https://politifact.com/factchecks/2020/apr/10/ron-desantis/florida-governor-falsely-claims-novel-coronavirus-/
